syllable,weight,is_word,word_rank,full_word,emoji,pos,has_children
koło,323,True,178,koło,📍,preposition,False
kolacja,311,True,190,kolacja,🍽️,noun,False
kochać,264,True,237,kochać,❤️,verb,False
kolorowy,208,True,293,kolorowy,🌈,adjective,False
koszulka,83,True,418,koszulka,👕,noun,False
kobieta,75,True,426,kobieta,👩,noun,False
kolor,51,True,450,kolor,🎨,noun,False
le,49,False,,,,,True
koniec,46,True,455,koniec,🏁,noun,False
koza,-53,True,554,koza,🐐,noun,False
korzeń,-83,True,584,korzeń,🌿,noun,False
kotlet,-167,True,668,kotlet,🍖,noun,False
korytarz,-238,True,739,korytarz,🚪,noun,False
komin,-244,True,745,komin,🏭,noun,False
komoda,-270,True,771,komoda,🗄️,noun,False
koszyk,-349,True,850,koszyk,🛒,noun,False
kosmos,-430,True,931,kosmos,🌌,noun,False
