syllable,weight,is_word,word_rank,full_word,emoji,pos,has_children
patrzeć,455,True,46,patrzeć,👀,verb,False
pani,414,True,87,pani,👩,noun,False
pamiętać,384,True,117,pamiętać,🧠,verb,False
palec,126,True,375,palec,👆,noun,False
papier,80,True,421,papier,📄,noun,False
pakować,-13,True,514,pakować,🔄,verb,False
papuga,-44,True,545,papuga,🦜,noun,False
papryka,-110,True,611,papryka,🫑,noun,False
paluszki,-175,True,676,paluszki,🍤,noun,False
patelnia,-200,True,701,patelnia,🍳,noun,False
pałac,-227,True,728,pałac,🏛️,noun,False
panele,-256,True,757,panele,🟫,noun,False
ra,-553,False,,,,,True
