syllable,weight,is_word,word_rank,full_word,has_children
pomóc,451,True,50,pomóc,False
potem,407,True,94,potem,False
pokój,305,True,196,pokój,False
pomysł,281,True,220,pomysł,False
pozwolić,269,True,232,pozwolić,False
pokazać,266,True,235,pokazać,False
podać,250,True,251,podać,False
położyć,247,True,254,położyć,False
postawić,246,True,255,postawić,False
potrzebować,216,True,285,potrzebować,False
poprzedni,157,True,344,poprzedni,False
południe,149,True,352,południe,False
poniedziałek,148,True,353,poniedziałek,False
początek,47,True,454,początek,False
